EnsemblID	Symbol	RA_1	RA_2	RA_3	TGFb_1	TGFb_2	TGFb_3	RA_TGFb_1	RA_TGFb_2	RA_TGFb_3	WT_1	WT_2	WT_3
ENSMUSG00000102693	4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	Gm26206	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	Xkr4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102851	Gm18956	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	Gm37180	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	Gm37363	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	Gm37686	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	Gm1992	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	Gm37329	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	Gm7341	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161	Gm38148	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	Gm19938	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	Gm10568	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	Gm38385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	Gm27396	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	Gm37381	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948	Gm6101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	Rp1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	Gm37483	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	Sox17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104238	Gm37587	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	Gm7357	2	0	1	0	0	0	1	0	1	0	0	0
ENSMUSG00000096126	Gm22307	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	Gm38076	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	Gm37323	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	Gm7369	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	Gm6085	16	30	10	16	14	10	12	14	16	9	15	19
ENSMUSG00000102175	Gm6119	0	2	1	1	3	0	3	4	2	0	0	2
ENSMUSG00000088000	Gm25493	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	Gm2053	0	0	0	1	1	1	0	1	0	0	0	0
ENSMUSG00000103922	Gm6123	10	11	6	2	5	4	7	9	7	5	4	11
ENSMUSG00000033845	Mrpl15	948	1158	880	940	880	943	656	1197	944	1123	967	1375
ENSMUSG00000102275	Gm37144	9	21	19	12	4	6	17	17	18	12	9	24
ENSMUSG00000025903	Lypla1	609	711	577	752	688	647	476	837	688	717	709	846
ENSMUSG00000104217	Gm37988	1	3	1	0	3	2	0	3	0	0	1	2
ENSMUSG00000033813	Tcea1	1289	1617	1252	1427	1270	1216	993	1666	1440	1563	1445	1878
ENSMUSG00000062588	Gm6104	1	2	2	2	3	3	2	1	1	5	0	7
ENSMUSG00000103280	Gm37277	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002459	Rgs20	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000091305	Gm17100	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653	Gm37079	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	Gm16041	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665	Gm17101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	Atp6v1h	873	1047	756	1110	1024	1009	819	1417	1144	1101	973	1347
ENSMUSG00000104352	Gm7182	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	Gm37567	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102907	Gm38264	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	Oprk1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	Gm36965	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	Gm22463	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	Gm37429	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000033774	Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090	Gm19214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	Rb1cc1	1587	1918	1614	1905	1757	1833	1360	2604	2148	1794	1765	2509
ENSMUSG00000090031	4732440D04Rik	43	51	44	68	54	49	37	78	75	82	58	81
ENSMUSG00000087247	Fam150a	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103355	Gm2147	3	4	0	1	1	1	0	1	3	2	1	3
ENSMUSG00000102706	Gm7417	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000103845	Gm19026	4	3	1	4	8	5	3	9	1	2	1	6
ENSMUSG00000033740	St18	1	0	1	3	2	1	3	4	2	0	0	1
ENSMUSG00000103329	Gm37405	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	Gm7449	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	Gm37108	4	2	2	1	4	5	1	4	3	1	5	3
ENSMUSG00000103282	Gm37275	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	Gm37225	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	Gm37489	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	Gm5694	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	Pcmtd1	1649	1949	1631	2127	1946	1952	1742	2633	2209	1900	1893	2629
ENSMUSG00000098201	Gm26983	1	0	0	0	0	1	1	1	1	0	0	0
ENSMUSG00000103509	Gm38372	109	138	152	122	121	101	126	170	199	105	121	158
ENSMUSG00000048538	Gm9826	11	3	7	13	5	7	5	5	6	12	12	15
ENSMUSG00000103709	Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	Gm23274	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	Gm19002	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	Gm26901	2	8	3	1	3	0	0	0	0	4	1	1
ENSMUSG00000103498	Gm18984	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	Gm30414	0	0	0	0	0	0	0	0	0	0	5	5
ENSMUSG00000102320	Gm37791	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	Gm7470	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	Rps2-ps2	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103557	Gm38216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	Sntg1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	Gm38024	0	0	0	0	0	0	0	0	0	0	0	0
